Product Name,Product Price,Keywords
"Imperial Non-Hydrogenated Margarine, 1.36 kg",8.98,imperial_non_margarine_
"Cracker Barrel Cheddar Coloured Old Cheese, 400g",8.17,cracker_cheddar_cheese_
"Astro Original Balkan Style All-Natural Yogourt, 12×100 g",5.98,style_yogourt_
"Yoplait 1% Yogurt Tubes, Cotton Candy, Kids Snacks, 56 g, 8 ct, 8 x 56 g",3.48,yoplait_yogurt_candy_snacks_
"Cracker Barrel Marble Cheddar Cheese Slices, 12 Slices",6.67,cracker_cheddar_cheese_
"Yoplait Yop 1% Drinkable Yogurt, Tropical, Yogurt Drink, 200 mL, 200 mL",1.27,yoplait_yogurt_tropical_drink_
"Activia Yogurt with Probiotics, Plain 3.2% M/F., 650g, 650g Yogurt Tub",4.58,yogurt_
"Oikos High Protein Greek Yogurt, Vanilla Flavour, Blended, Value Tub, 650g Greek Yogurt Tub",6.98,oikos_protein_greek_yogurt_vanilla_
"Silk Organic Soy Beverage, Unsweetened Original, Dairy-Free, 1.89L, 1.89L Organic Soy Milk",4.78,soy_beverage_dairy_milk_
"Pillsbury Grands! Crescents, Croissant Rolls, Ready to Bake, 318 g, 4 ct, Dough for 4, 318 g",3.48,pillsbury_croissant_rolls_dough_
"Astro Original Plain Yogurt 2%, Balkan Style, 750 g",3.48,yogurt_style_
"Oikos Greek Yogurt, Blueberry Flavour, Fruit on the Bottom, 2% M.F., 4 x 100g Greek Yogurt Cups",4.28,oikos_greek_yogurt_blueberry_fruit_
"Liberté Greek 2% Yogurt, Plain, High Protein, 750 g, 750 g",5.87,greek_yogurt_protein_
"Pillsbury Chocolatey Chunk Cookie Dough, 468 g",3.48,pillsbury_cookie_dough_
"Great Value Margarine with Olive Oil, 1.7 kg",9.98,margarine_olive_oil_
"Sealtest 10% Half & Half Coffee Cream, 473 mL",3.18,half_coffee_cream_
"Activia Yogurt with Probiotics, Peach Flavour, 650g, Yogurt",4.58,yogurt_peach_
"Gay Lea Salted Butter, 454 g, 1 lb",7.48,salted_butter_
"Heluva Good! Dill Pickle Sour Cream Dip, 250 g",3.98,dill_sour_cream_dip_
"Oikos Fat Free Greek Yogurt, High Protein, Plain, 0% M.F., 650g Greek Yogurt Tub",6.98,oikos_fat_greek_yogurt_protein_
"Yoplait 1% Yogurt Tubes, Fruit Punch / Strawberry-Banana, Kids Snacks, 56 g, 8 ct, 8 x 56 g",3.48,yoplait_yogurt_fruit_punch_strawberry_banana_snacks_
"Yoplait 1% Yogurt Tubes, Mixed Berry, Kids Snacks, 56 g, 8 ct, 8 x 56 g",3.48,yoplait_yogurt_mixed_snacks_
"Philadelphia Original Brick Cream Cheese, 250g",4.58,cream_cheese_
"Natrel Fine-filtered 1% Milk, 2 L",5.38,natrel_milk_
"Oikos Fat Free Greek Yogurt, Peach-Mango Flavour, Fruit on the Bottom, 0% M.F., 4 x 100g Greek Yogurt Cups",4.28,oikos_fat_greek_yogurt_peach_mango_fruit_
"Mini Babybel Original Cheese Snacks 12P, 12 Portions, 240 g",10.18,cheese_snacks_
"Pillsbury Crescents Original, 226 g",2.48,pillsbury_
"Philadelphia Herb & Garlic Cream Cheese Product, 227g",4.58,herb_garlic_cream_cheese_
"JUST Plant Egg, 4 folded plant eggs, 227g",6.37,egg_eggs_
"International Delight Coffee Creamer, Caramel Macchiato flavour, Coffee Whitener, 946ml Coffee Whitener",5.78,coffee_creamer_caramel_
"Pillsbury Pie Crusts, Refrigerated Pre-Made Dough, 400 g, 2 Pie Crusts, 400 g",3.48,pillsbury_pie_made_dough_
"Siggi's Skyr Yogurt Plain 0%, High Protein, 750 g",6.27,yogurt_protein_
"Siggi's Skyr Yogurt Strawberry 2%, High Protein, 650 g",6.27,yogurt_strawberry_protein_
"Yoplait Yop 1% Drinkable Yogurt Pack, Strawberry, Blueberry, Raspberry, and Strawberry Banana, Yogurt Drinks, 200 mL, 12 ct, 12 x 200 mL",11.27,yoplait_yogurt_strawberry_blueberry_raspberry_banana_
"Sealtest Chocolate Parly Skimmed 1% Milk, 750 mL",2.08,chocolate_milk_
"Pillsbury Country Biscuits, Ready to Bake Dough, 340 g, 10 ct, Dough for 10, 340 g",3.48,pillsbury_dough_
"Becel Margarine Original, 427g",3.98,margarine_
"Dahi Yogurt Plain 3%, 750g",3.14,yogurt_
"IOGO 0%STR-VAN-PC-RA, 16x100g",6.98,
"Our Finest Raspberry Pomegranate Greek Yogurt, 4 x 100 g",3.48,raspberry_pomegranate_greek_yogurt_
"Your Fresh Market Havarti Cheese with Jalapeño, 160 g",6.98,cheese_
"Great Value Sour Cream and Lime Creme - Inspired by Mexico 250 mL, 250 mL",2.97,sour_cream_lime_creme_
"Earth's Own Oat Zero Sugar Beverage Vanilla 946ml, Earth's Own Oat Milk, Zero Sugar, Vanilla, 0 Sugar, Plant-Based Beverage, Dairy-Free, Gluten-Free 946ml",2.97,oat_sugar_beverage_vanilla_milk_based_dairy_
"iÖGO Creamy Yogurt Pineapple-Coconut-Banana, Vanilla, Lemon-Lime and Peach-Mango 1.5%, 16 x 100 g",6.98,creamy_yogurt_pineapple_coconut_banana_vanilla_lemon_lime_peach_mango_
"Great Value Mozzarella Style Pizza Mozzarella Cheese, 16 pack (336 g)",6.48,mozzarella_style_pizza_cheese_
"Great Value Strawberry Banana Drinkable Yogurt, 6 x 93 mL",3.50,strawberry_banana_yogurt_
"Your Fresh Market Medium Cheddar Cheese, 170 g",6.98,cheddar_cheese_
"Sealtest 35% Whipping Cream, 1 L",7.98,cream_
"Wholly Guacamole Minis Classic Guacamole, 4.57 g",4.97,guacamole_classic_
"Great Value Unsalted Churned Butter Sticks, 4 Sticks, 454 g",7.68,butter_sticks_
"Great Value Thick Cheddar Style Process Cheese Slices, 410 g, 14 slices",3.97,cheddar_style_cheese_
"Our Finest Vanilla Greek Yogurt, 750 g",4.72,vanilla_greek_yogurt_
"Your Fresh Market Havarti Sliced Cheese 35% Mf, 160 grams",6.98,sliced_cheese_
"Your Fresh Market Marble Cheddar Cheese Slices, 180 g",6.98,cheddar_cheese_
"Gray Ridge Premium Large White Eggs, 18 Count",6.68,white_eggs_
"GoldEgg Golden D Vitamin D Enriched Large Eggs, 18 Count",8.83,golden_eggs_
"Great Value Light Cream Cheese, 250 g",2.97,cream_cheese_
"iÖGO Nanö Drinkable Yogurt Lactose Free Apple-Grape 1%, 650 g",4.28,yogurt_apple_grape_
"fairlife Whole Ultrafiltered Milk 1.5L Bottle, 1.5 x L",5.98,whole_milk_
"Great Value Old Cheddar Cheese Slices, 210 g, 11 Slices",4.97,cheddar_cheese_
"iÖGO Creamy Yogurt Strawberry Raspberry Blueberry Vanilla 1.5%, 16 x 100 g",6.98,creamy_yogurt_strawberry_raspberry_blueberry_vanilla_
"Great Value 2% Cottage Cheese, 500 g",3.98,cottage_cheese_
"Sealtest Partly Skimmed 2% Milk, 4 L bag",6.08,milk_
"Great Value Havarti Cheese, 400 g",6.17,cheese_
"fairlife Skim Ultrafiltered Milk 1.5L Bottle, 1.5 x L",5.98,milk_
"Great Value Medium Cheddar Cheese Slices, 230 g, 12 Slices",4.97,cheddar_cheese_
"Great Value 1% Cottage Cheese, 750 g",5.48,cottage_cheese_
"Great Value Cream Cheese Spread Herb & Garlic, 227 g",2.97,cream_cheese_spread_herb_garlic_
"Great Value Pizza Mozzarella Cheese, 400 g",6.17,pizza_mozzarella_cheese_
"Great Value Old Cheddar Cheese, 400 g",6.17,cheddar_cheese_
"Brar's Malai Paneer, 375 g",5.97,paneer_
"IÖGO nanö 1% Strawberry Drinkable Yogurt, 6 x 93 mL",4.28,strawberry_yogurt_
"Great Value Sour Cream, 500 mL",2.48,sour_cream_
"Great Value Marble Cheddar Cheese, 400 g",6.17,cheddar_cheese_
"Great Value Salted Butter, 454 g",5.88,salted_butter_
"Great Value Half & Half Cream, 1 L",3.18,half_cream_
"Great Value XL White Eggs, 12 Count",4.57,white_eggs_
"Great Value Large Eggs, 12 Count",3.87,eggs_
"Smoky Hot Sauce, Naagin Smoky Sauce",7.99,hot_sauce_
"E-ALTRA DRESSING, E-ALTRA DRESSING",4.47,dressing_
"Litehouse Homestyle Ranch Dip, 13fl",4.67,ranch_dip_
"Renée’s Balsamic Vinaigrette, 350 mL Bottle, Balsamic Vinaigrette",5.77,
"Hellmann's Real Mayonnaise, 890 mL Mayonnaise",5.97,mayonnaise_
"Renée’s Light Caesar Dressing, Light Caesar",7.97,caesar_dressing_
"SKINNYGIRL DRESSING POPPYSEED, SKINNYGIRL DRESSING POPPYSEED",2.97,dressing_poppyseed_
"Kraft Golden Italian Salad Dressing, 425 mL Bottle, KRAFT GOLDEN ITALIAN DRESSING 425",3.77,kraft_golden_italian_salad_dressing_
"Bull's-Eye Sweet & Sticky BBQ Sauce, 425mL",3.47,sweet_bbq_sauce_
"Tangy Thai Salad Dressing, Ocean's Halo, Organic, Soy Free, Spicy, Vegan, 12 fl oz, Tangy Thai Salad Dressing",4.97,thai_salad_dressing_ocean_soy_vegan_
"J.L. KRAFT Pure Pomegranate Zaatar Dressing & Marinade, 355 mL Bottle, J.L. Kraft Pure – POMEGRANATE ZAATAR 355",5.47,kraft_pomegranate_dressing_marinade_
"Miracle Whip Calorie Wise Spread, 650mL",4.97,miracle_whip_calorie_spread_
"Lady's Choice Sandwich Spread, 470 ml",4.47,sandwich_spread_
"Mother's Recipe Punjabi Teekha Mango Pickle, 500 g",3.78,mango_
"French's, Classic Yellow Mustard, 225mL",2.07,french_classic_yellow_mustard_
"Bull's-Eye Honey Garlic Bonanza BBQ Sauce, 425mL",3.47,honey_garlic_bbq_sauce_
"Hellmann's Real Mayonnaise, 890 mL Mayonnaise",5.97,mayonnaise_
"A.1. Original Steak Sauce, 400mL",5.47,steak_sauce_
"Keen's Prepared, Hot Mustard, 100mL",2.77,hot_mustard_
"Kraft Golden Italian Salad Dressing, 425 mL Bottle, KRAFT GOLDEN ITALIAN DRESSING 425",3.77,kraft_golden_italian_salad_dressing_
"Kraft BBQ Sauce, Light, 455mL",1.97,kraft_bbq_sauce_
"J.L. KRAFT Pure Pomegranate Zaatar Dressing & Marinade, 355 mL Bottle, J.L. Kraft Pure – POMEGRANATE ZAATAR 355",5.47,kraft_pomegranate_dressing_marinade_
"Our Finest Whole Colossal Olives, 375 mL",4.47,whole_olives_
"TABASCO SRIRACHA, E-TABASCO TABASCO SRIRACHA",4.97,tabasco_sriracha_
"Our Finest Bold & Smoky Tequila BBQ Sauce, 375 mL",3.47,tequila_bbq_sauce_
"Unico Sliced Pizza Olives, 375 mL",3.27,sliced_pizza_olives_
"Great Value Secret Recipe Series Poblano Queso Crema Sauce, 250 mL",2.97,queso_sauce_
"Renée’s Caesar Dressing, Caesar Dressing",5.47,caesar_dressing_
"Kraft Coleslaw Dressing, 425 mL Bottle, KRAFT COLESLAW DRESSING 425",3.77,kraft_coleslaw_dressing_
"Our Finest Artisan Style Honey Wood Smoked BBQ Sauce, 375 mL",3.47,style_honey_smoked_bbq_sauce_
"Great Value Baby Dill Extra Garlic Pickles, 1 L",3.27,baby_dill_extra_garlic_pickles_
"Hellmann's Real Mayonnaise, 890 mL Mayonnaise",5.97,mayonnaise_
"Kraft Zesty Italian Salad Dressing, 425 mL Bottle, KRAFT ZESTY ITALIAN DRESSING 425",3.77,kraft_italian_salad_dressing_
"Great Value Whole Kalamata Olives, 375 mL",3.47,whole_olives_
"Kraft Golden Italian Salad Dressing, 425 mL Bottle, KRAFT GOLDEN ITALIAN DRESSING 425",3.77,kraft_golden_italian_salad_dressing_
"Kraft BBQ Sauce, Chicken & Rib, 455mL",1.97,kraft_bbq_sauce_chicken_
"EXTREME PICKLE SPEAR  GARLIC & DILL, EXTREME PICKLE SPEAR  GARLIC & DILL 750ml",4.97,garlic_dill_
"J.L. KRAFT Pure Pomegranate Zaatar Dressing & Marinade, 355 mL Bottle, J.L. Kraft Pure – POMEGRANATE ZAATAR 355",5.47,kraft_pomegranate_dressing_marinade_
"Great Value Sweet and Hot Prepared Mustard, 325 mL",1.97,sweet_hot_mustard_
"Great Value Real Mayonnaise, 750 mL",5.27,mayonnaise_
"Great Value Tangy Dill Sandwich Pickles, 500 mL",2.97,dill_sandwich_pickles_
"Great Value Prepared Yellow Mustard, 400 mL",1.27,yellow_mustard_
"Great Value Real Mayonnaise, 890 mL",4.27,mayonnaise_
"Hellmann's Real Mayonnaise, 890 mL Mayonnaise",5.97,mayonnaise_
"Great Value Sliced Black Olives, 398 mL",1.97,sliced_black_olives_
"Great Value Sweet Green Relish, 375 mL",1.47,sweet_green_relish_
"Kraft Golden Italian Salad Dressing, 425 mL Bottle, KRAFT GOLDEN ITALIAN DRESSING 425",3.77,kraft_golden_italian_salad_dressing_
"Great Value Parmesan & Garlic Flavour Caesar Croutons, 142 g",2.47,parmesan_garlic_caesar_croutons_
"Great Value Baby Dill Pickles, 1 L",3.27,baby_dill_pickles_
"J.L. KRAFT Pure Pomegranate Zaatar Dressing & Marinade, 355 mL Bottle, J.L. Kraft Pure – POMEGRANATE ZAATAR 355",5.47,kraft_pomegranate_dressing_marinade_
"Great Value Ranch Dressing, 475 mL",2.77,ranch_dressing_
"Cathalem Women's Cotton Dress Socks Cute Crew Cotton Turn-Cuff Socks Soft Kint Teen Girls Lettuce Frilly Socks,Yellow One Size",5.16,lettuce_yellow_
"Cathalem Women Thin Bamboo Socks Casual Cute Ankle Socks Breathable Knit Cotton Warm Soft Frilly Crew Socks for Women,Green One Size",5.17,bamboo_green_
"EG TF CINN BRWN SGR FRZ WFL-ᶃT 330GMX8, EG TF CINN BRWN SGR FRZ WFL-ᶃT 330GMX8",3.97,
"Great Value Quick Cook Steel Cut Oats, Great Value Quick Cook Steel Cut Oats 1 kg",2.77,cut_oats_
"Great Value Buttermilk Pancakes, 936 g",6.47,buttermilk_pancakes_
"Great Value Crispy Rice Cereal, 340 g",2.97,crispy_rice_cereal_
"Post Shreddies Original Cereal, Jumbo Size, 1.24 kg",9.47,cereal_
"Great Value Banana Nut Granola, 400g",3.97,banana_nut_granola_
"Kellogg's Vector Meal Replacement Cereal, 400g, 400g",5.97,meal_replacement_cereal_
"Cinnamon Toast Crunch Kids Breakfast Cereal, Family Size, Whole Grains, 591 g, 591 g",6.97,cinnamon_toast_crunch_breakfast_cereal_whole_grains_
"Reese's Puffs Minis Breakfast Cereal, Peanut Butter Chocolate, Whole Grains, 331 g",4.97,reese_puffs_breakfast_cereal_peanut_butter_chocolate_whole_grains_
"Kellogg’s Corn Pops Cereal, Jumbo Size, 730g, 730g",9.77,corn_pops_cereal_
"Apple Jacks Cereal 345g, Limited Time Only",2.97,apple_cereal_
"Cheerios VEGGIE blends Blueberry Banana Cereal, Whole Grains, 300 g",3.97,blueberry_banana_cereal_whole_grains_
"Oatmeal Crisp Breakfast Cereal, Almond, Family Size, High Fibre, 628 g, 628 g",6.97,oatmeal_crisp_breakfast_cereal_almond_
"Cinnamon Toast Crunch Loaded Cereal, Whole Grains, 368 g",3.97,cinnamon_toast_crunch_cereal_whole_grains_
"Nesquik Chocolate Breakfast Cereal, Whole Grains and Fibre, 340 g, 340 g",4.97,chocolate_breakfast_cereal_whole_grains_
"EGGO Buttermilk Pancakes, 280G (8 pancakes), EG BTRMLK FRZ PANC 8CT 280GMX16",2.97,buttermilk_pancakes_
"EG TF CINN BRWN SGR FRZ WFL-ᶃT 330GMX8, EG TF CINN BRWN SGR FRZ WFL-ᶃT 330GMX8",3.97,
"Quaker Large Flake Oats, 1kg",3.97,oats_
"Cinnamon Chex Breakfast Cereal, Gluten Free, Whole Grains, 345 g",4.97,cinnamon_breakfast_cereal_whole_grains_
"Multi Grain Cheerios Breakfast Cereal, Whole Grains, 342 g, 342 g",4.97,breakfast_cereal_whole_grains_
"WAFFLE MINIS, WAFFLE MINIS",4.67,waffle_
"Original Cheerios Breakfast Cereal, Whole Grains, 350 g",4.97,breakfast_cereal_whole_grains_
"Quaker Life Original Cereal, 450g",4.97,cereal_
"Vector Maple Cereal 306g, Provides 10g of protein",5.97,maple_cereal_protein_
"MadeGood Strawberry Granola Minis 5pk, 5 x 24 g",3.97,strawberry_granola_
"Post Timbits Cereal Chocolate Glazed, Weight 326g",4.67,cereal_chocolate_
"Post Honeycomb Cereal, 400 g",4.67,cereal_
"Great Value Quick Oats 1 kg, 100% Whole Grain Rolled Oats",2.77,oats_whole_
"POST SHREDDIES FAMILY SIZE, POST SHREDDIES FAMILY SIZE",4.47,
"POST RAISIN BRAN FAMILY SIZE, POST RAISIN BRAN FAMILY SIZE",4.47,bran_
"Post Shreddies Original Cereal, Retail Size, 440 g, Post Shreddies Original Cereal 440g",4.67,cereal_
"POST HONEYCOMB FAMILY SIZE, POST HONEYCOMB FAMILY SIZE",4.47,
"Post Honey Shreddies Cereal, Retail Size, 440 g, E-SHREDDIES HONEY SHREDDIES",4.67,honey_cereal_
"Post Oreo O’s® Cereal, 311g",4.67,cereal_
"POST RAISIN BRAN, POST RAISIN BRAN RETAIL SIZE",4.67,bran_
"Post Sugar Crisp Cereal, 365 g",4.67,sugar_crisp_cereal_
"E-CROWN BABY CORN CUT, E-CROWN BABY CORN CUT",2.67,baby_corn_cut_
"E-ALTRA BRUSSELS SPROUTS, E-ALTRA BRUSSELS SPROUTS",11.97,brussels_sprouts_
"SOLID W TUNA/WATER, Kosher",4.47,tuna_water_
"Suntat Roasted Eggplant 660g, 660 g",4.97,eggplant_
"SUNBULAH OKRA ZERO, Frozen Okra Zero, 400g",4.97,okra_frozen_
"SDF PKL CUCUMBER DIL, SDF PKL CUCUMBER DIL",4.97,cucumber_
"Foodfest Gefilte Fish Roll Sweet KPY 500g, Gefilte Fish Roll Sweet KPY",10.97,gefilte_fish_roll_sweet_
"SlimFast Original French Vanilla Meal Replacement Shake Mix, 1.2 kg - 36 servings",29.98,french_vanilla_meal_replacement_shake_mix_
"SUNBULAH BROAD BEANS, Frozen Broad Beans, 450g",5.47,beans_frozen_
"Del Monte® Verry Cherry in 100% fruit juice from concentrate, 112.5ML",17.97,cherry_fruit_juice_
"Kosa Canned Bamboo Slice, 540g",2.57,bamboo_slice_
"GOLD SEAL PINK SALMON 418G, GS PINK SALMON 418G",5.97,pink_salmon_
"Clover LEAF® Tuna Snacks - Classic, 90 g",1.97,leaf_tuna_snacks_classic_
"Ocean Spray® Jellied Cranberry Sauce, 348 mL",2.77,ocean_cranberry_sauce_
"PRIMO NO SALT ADDED CHICK PEAS, CANNED BEANS - CHICK PEAS - NO SALT ADDED - 540ml",1.77,salt_added_chick_peas_beans_
"BUSH'S® Homestyle Tangy Sauce with Bacon And Brown Sugar Baked Beans, 398 mL",2.47,sauce_bacon_brown_sugar_baked_beans_
"Brunswick Sardines in Spring Water, 106 g",1.97,brunswick_sardines_spring_water_
"Rio Mare Solid Light Tuna in Olive Oil, 3 x 80g",6.97,tuna_olive_oil_
"Aylmer Accents Tomatoes, Diced Stewed Chili, 540 ml",2.67,tomatoes_stewed_chili_
"Campbell's® Chunky® Chicken à la King Ready to Serve Soup, Ready to Serve Soup 515 mL",1.97,chicken_king_serve_soup_
"Sardines in Tomato Sauce, 555 Sardines in Tomato Sauce",1.07,sardines_tomato_sauce_
"Hunt's® Onion, Herbs and Spices Tomato Sauce, 680 mL",2.47,onion_tomato_sauce_
"Campbell's® Creamy Tomato Ready to Serve Soup, Ready to Serve Soup 515 mL",2.97,creamy_tomato_serve_soup_
"PRIMO BLACK BEANS, CANNED BEANS - BLACK BEANS - 540ml",1.77,black_beans_
"Primo Diced Tomatoes, Diced Tomatoes",2.27,tomatoes_
"Old El Paso Mexican Refried Beans, Pinto Beans, 398 ml, 398 mL",3.97,mexican_refried_beans_pinto_
"Mutti Whole Peeled Tomatoes 796mL, Mutti Pelati",4.77,whole_tomatoes_
"Verka Kesar Mango Pulp, 850 g",4.27,mango_pulp_
"Old El Paso Chopped Green Chilies, 113mL",2.47,chopped_green_
"Clover LEAF® Chunk Light Tuna in Water, 170 g",1.97,leaf_tuna_water_
"Campbell's® Chunky® Vegetable Beef Ready to Serve Soup, Ready to Serve Soup 515 mL",1.97,vegetable_beef_serve_soup_
"Great Value Peach Halves in Fruit Juice from Concentrate, 398 mL",1.97,peach_fruit_juice_
"Unico Sundried Tomatoes in Oil, 210 mL",4.47,sundried_tomatoes_oil_
"Great Value Pear Halves in Fruit Juice from Concentrate, 796 mL",3.47,pear_fruit_juice_
"Hunt's® Original Tomato Paste, 156 mL",1.47,tomato_paste_
"Great Value Original Applesauce 620 mL, Great Value Sweetened Applesauce",1.97,applesauce_sweetened_
"Great Value Flaked Light Tuna, 170 g",0.97,tuna_
"Great Value Chunk Light Tuna, 170 g (120 g drained), Skipjack in Water",0.97,tuna_water_
"Great Value No Salt Added Diced Tomatoes, 796 mL",1.77,salt_added_tomatoes_
"Great Value Whole Kernel Corn, 341 mL",1.27,whole_kernel_corn_
"Great Value No Salt Chick Peas, 540 mL",1.47,salt_chick_peas_
"Green Giant Canned Peaches And Cream Whole Kernel Corn. Perfect As A Side Or In A Recipe., G Giant Canned Peaches & Cream",1.97,green_peaches_cream_whole_kernel_corn_side_
"Green Giant Canned Whole Kernel Corn Niblets. Grown & Packed In Canada., G Giant Canned Whole Kernel Cor",1.97,green_whole_kernel_corn_
"Great Value Dark Red Kidney Beans, 540 mL",1.47,dark_red_kidney_beans_
"Great Value Black Turtle Beans, 540 mL",1.47,black_turtle_beans_
"Great Value Chick Peas, 540 mL",1.47,chick_peas_
"Great Value Red Lentils, 900 g",2.97,red_lentils_
"Great Value Chick Peas, 900 g",2.97,chick_peas_
"Great Value Green Lentils, 900 g",2.97,green_lentils_
"Great Value Red Kidney Beans, 900 g",2.97,red_kidney_beans_
"Great Value Black Turtle Beans, 900 g",2.97,black_turtle_beans_
"Great Value Yellow Split Peas, 900 g",2.97,yellow_split_peas_
"Great Value Pearl Barley, 450 g",1.97,barley_
"Remix Snacks Bean Bark Cranberry Dark Chocolate 100g, 70% dark chocolate",4.97,snacks_bean_cranberry_dark_chocolate_
"GUXIN MUNG BEANS, GUXIN MUNG BEANS",6.97,mung_beans_
"PEAS, PEAS",0.97,peas_
